iteration,pheromone_exponent,length_exponent,evaporation_coefficient,pheromone_leaving_coefficient,total_distance,path
1,1,1,0,1,7040.44678730006,[0,24,12,3,16,9,13,11,23,8,5,10,18,1,6,15,19,20,21,17,14,7,22,4,2, 0],,,,,,,
2,1,1,0,1.11111111111111,7019.41472546797,[0,1,3,24,13,19,15,6,20,21,8,4,7,12,5,10,17,14,11,23,16,9,2,18,22, 0],,,,,,,
3,1,1,0,1.22222222222222,7286.24399701369,[0,21,8,4,5,18,10,22,20,7,2,15,9,6,13,23,11,17,14,19,1,12,3,16,24, 0],,,,,,,
4,1,1,0,1.33333333333333,6619.24540898444,[0,1,12,3,24,7,16,23,21,4,8,20,11,17,14,19,6,15,9,5,10,18,2,22,13, 0],,,,,,,
5,1,1,0,1.44444444444444,7057.74861681756,[0,24,1,3,15,9,16,22,12,2,8,4,5,23,11,20,10,18,14,17,19,6,13,21,7, 0],,,,,,,
6,1,1,0,1.55555555555556,7083.61601323809,[0,24,1,12,3,16,2,17,20,19,15,6,13,5,4,8,22,7,14,11,23,21,18,10,9, 0],,,,,,,
7,1,1,0,1.66666666666667,7314.48804488653,[0,1,24,16,9,15,14,17,21,5,4,23,11,22,3,7,12,2,8,10,18,20,19,6,13, 0],,,,,,,
8,1,1,0,1.77777777777778,6694.2244428272,[0,24,7,3,1,12,22,5,10,23,11,17,20,13,19,6,15,9,16,21,8,4,2,18,14, 0],,,,,,,
9,1,1,0,1.88888888888889,7217.48247604205,[0,24,22,8,21,14,17,16,6,19,13,15,9,3,1,7,2,4,5,18,10,20,23,11,12, 0],,,,,,,
10,1,1,0,2,6872.26508861604,[0,16,3,1,12,7,4,21,20,13,15,19,5,23,10,18,14,17,11,22,2,8,6,9,24, 0],,,,,,,
11,1,1,0.125,1,6582.73092717747,[0,1,12,3,24,16,7,19,21,5,4,8,2,10,18,13,20,23,11,17,14,22,6,15,9, 0],,,,,,,
12,1,1,0.125,1.11111111111111,6579.4244406428,[0,24,12,1,3,16,9,22,4,8,17,14,11,23,15,6,19,13,10,21,20,18,5,2,7, 0],,,,,,,
13,1,1,0.125,1.22222222222222,6653.04241585921,[0,24,3,9,15,6,20,19,21,23,14,10,17,11,5,18,2,4,8,13,22,16,12,1,7, 0],,,,,,,
14,1,1,0.125,1.33333333333333,6711.78342447397,[0,24,7,3,1,12,18,5,2,22,16,21,4,8,10,14,11,23,17,13,15,19,6,20,9, 0],,,,,,,
15,1,1,0.125,1.44444444444444,6644.12878372829,[0,3,1,12,24,18,5,17,14,4,22,2,11,23,21,8,10,20,6,19,15,13,9,16,7, 0],,,,,,,
