iteration;pheromone_exponent;length_exponent;evaporation_coefficient;pheromone_leaving_coefficient;total_distance;path;
29;1.3;1.0;0.25;1.8888888888888888;4195.535098118571;[0, 24, 15, 17, 23, 18, 19, 8, 13, 5, 4, 11, 22, 14, 2, 9, 16, 21, 7, 10, 12, 1, 20, 6, 3, 0];
30;1.3;1.0;0.25;2.0;3874.163420274682;[0, 24, 17, 23, 6, 15, 8, 18, 19, 13, 5, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 12, 1, 20, 3, 0];
31;1.3;1.0;0.375;1.0;3597.1158176499816;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
32;1.3;1.0;0.375;1.1111111111111112;3660.9662928399534;[0, 24, 23, 17, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 12, 1, 20, 6, 3, 0];
33;1.3;1.0;0.375;1.2222222222222223;3719.463122213354;[0, 24, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 12, 1, 20, 6, 17, 23, 3, 0];
34;1.3;1.0;0.375;1.3333333333333333;3642.5632809746508;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 19, 18, 8, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
35;1.3;1.0;0.375;1.4444444444444444;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
36;1.3;1.0;0.375;1.5555555555555556;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
37;1.3;1.0;0.375;1.6666666666666665;3660.9662928399534;[0, 24, 23, 17, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 12, 1, 20, 6, 3, 0];
38;1.3;1.0;0.375;1.7777777777777777;3597.1158176499816;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
39;1.3;1.0;0.375;1.8888888888888888;3604.4694394955213;[0, 24, 6, 23, 17, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 12, 1, 20, 3, 0];
40;1.3;1.0;0.375;2.0;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
41;1.3;1.0;0.5;1.0;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
42;1.3;1.0;0.5;1.1111111111111112;3790.5472910827534;[0, 24, 3, 10, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 0];
43;1.3;1.0;0.5;1.2222222222222223;3597.1158176499816;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
44;1.3;1.0;0.5;1.3333333333333333;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
45;1.3;1.0;0.5;1.4444444444444444;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
46;1.3;1.0;0.5;1.5555555555555556;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
47;1.3;1.0;0.5;1.6666666666666665;3554.476523057485;[0, 24, 6, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 12, 1, 20, 3, 0];
48;1.3;1.0;0.5;1.7777777777777777;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
49;1.3;1.0;0.5;1.8888888888888888;3597.1158176499816;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
50;1.3;1.0;0.5;2.0;3700.6765953180543;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 18, 8, 19, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 0];
51;1.3;1.25;0.0;1.0;6091.200687433786;[0, 24, 21, 12, 1, 20, 3, 17, 6, 23, 15, 18, 19, 8, 11, 10, 14, 22, 2, 7, 16, 9, 4, 13, 5, 0];
52;1.3;1.25;0.0;1.1111111111111112;5687.310303520793;[0, 18, 19, 8, 5, 13, 1, 12, 16, 9, 21, 2, 14, 22, 11, 4, 23, 17, 15, 6, 3, 24, 7, 10, 20, 0];
53;1.3;1.25;0.0;1.2222222222222223;5157.967902451635;[0, 1, 12, 10, 24, 6, 17, 23, 15, 8, 19, 18, 5, 4, 11, 21, 14, 22, 7, 16, 9, 2, 13, 3, 20, 0];
54;1.3;1.25;0.0;1.3333333333333333;5081.492842717527;[0, 24, 3, 6, 23, 17, 15, 19, 8, 18, 5, 13, 11, 10, 12, 1, 20, 16, 7, 2, 22, 14, 9, 21, 4, 0];
55;1.3;1.25;0.0;1.4444444444444444;5219.361391851937;[0, 24, 17, 23, 15, 6, 18, 19, 8, 11, 5, 13, 4, 14, 16, 9, 21, 22, 2, 7, 10, 12, 1, 3, 20, 0];
56;1.3;1.25;0.0;1.5555555555555556;5012.0021471066575;[0, 24, 4, 5, 18, 19, 8, 13, 11, 22, 14, 2, 9, 21, 16, 10, 7, 1, 12, 6, 17, 23, 15, 3, 20, 0];
57;1.3;1.25;0.0;1.6666666666666665;5931.744688943091;[0, 2, 7, 21, 9, 16, 11, 14, 22, 13, 18, 8, 19, 15, 23, 17, 6, 3, 12, 10, 24, 20, 1, 5, 4, 0];
58;1.3;1.25;0.0;1.7777777777777777;5640.958976441213;[0, 23, 17, 6, 15, 3, 24, 12, 7, 16, 21, 9, 22, 14, 2, 20, 1, 10, 11, 13, 5, 19, 18, 8, 4, 0];
59;1.3;1.25;0.0;1.8888888888888888;5637.057581882092;[0, 4, 11, 14, 22, 13, 5, 19, 8, 18, 21, 2, 9, 16, 7, 24, 15, 3, 12, 10, 23, 17, 6, 20, 1, 0];
60;1.3;1.25;0.0;2.0;5939.362880816263;[0, 24, 13, 19, 8, 18, 15, 3, 12, 7, 2, 22, 14, 11, 4, 5, 21, 16, 9, 1, 10, 6, 17, 23, 20, 0];
61;1.3;1.25;0.125;1.0;5503.482154792988;[0, 3, 24, 17, 23, 6, 1, 12, 10, 16, 9, 21, 2, 4, 13, 5, 11, 14, 22, 18, 8, 19, 15, 20, 7, 0];
62;1.3;1.25;0.125;1.1111111111111112;5572.397492227137;[0, 20, 7, 10, 1, 9, 21, 16, 2, 22, 14, 5, 18, 8, 19, 4, 11, 13, 12, 3, 17, 23, 6, 15, 24, 0];
63;1.3;1.25;0.125;1.2222222222222223;5342.283455247891;[0, 24, 23, 17, 6, 3, 20, 1, 15, 19, 8, 18, 5, 22, 4, 11, 21, 14, 2, 9, 16, 7, 10, 12, 13, 0];
64;1.3;1.25;0.125;1.3333333333333333;5461.629264808801;[0, 10, 7, 12, 15, 17, 23, 3, 24, 18, 19, 8, 4, 11, 13, 5, 22, 21, 14, 2, 9, 16, 1, 20, 6, 0];
65;1.3;1.25;0.125;1.4444444444444444;4580.987661788566;[0, 24, 3, 10, 12, 1, 20, 7, 9, 16, 21, 22, 14, 2, 11, 4, 18, 8, 19, 13, 5, 15, 23, 6, 17, 0];
66;1.3;1.25;0.125;1.5555555555555556;5123.096572403102;[0, 6, 23, 17, 3, 20, 1, 7, 16, 14, 2, 21, 9, 22, 11, 4, 13, 5, 19, 8, 18, 24, 10, 12, 15, 0];
67;1.3;1.25;0.125;1.6666666666666665;5260.537808984306;[0, 17, 23, 15, 3, 24, 6, 20, 12, 1, 10, 16, 7, 14, 22, 21, 9, 2, 13, 5, 8, 19, 18, 11, 4, 0];
68;1.3;1.25;0.125;1.7777777777777777;5600.404684202889;[0, 12, 1, 7, 9, 16, 2, 14, 22, 11, 4, 5, 13, 18, 19, 8, 23, 15, 24, 6, 3, 17, 20, 10, 21, 0];
69;1.3;1.25;0.125;1.8888888888888888;5513.051200158954;[0, 24, 23, 17, 3, 15, 8, 18, 19, 5, 13, 4, 11, 2, 14, 9, 21, 16, 22, 6, 12, 1, 20, 10, 7, 0];
70;1.3;1.25;0.125;2.0;5506.570904508459;[0, 3, 7, 21, 14, 18, 8, 19, 5, 13, 4, 2, 11, 22, 9, 16, 10, 24, 15, 23, 17, 6, 20, 12, 1, 0];
71;1.3;1.25;0.25;1.0;3822.1072202699447;[0, 24, 3, 10, 12, 1, 7, 16, 9, 21, 2, 14, 22, 11, 4, 13, 5, 18, 8, 19, 15, 23, 17, 6, 20, 0];
72;1.3;1.25;0.25;1.1111111111111112;4220.265564709897;[0, 3, 24, 6, 17, 23, 15, 8, 19, 18, 4, 13, 5, 11, 22, 14, 21, 2, 16, 9, 7, 10, 1, 12, 20, 0];
73;1.3;1.25;0.25;1.2222222222222223;3784.644931665131;[0, 24, 3, 10, 12, 1, 20, 6, 23, 17, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 0];
74;1.3;1.25;0.25;1.3333333333333333;4379.537152255767;[0, 24, 17, 23, 15, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 12, 1, 20, 6, 3, 19, 8, 18, 0];
75;1.3;1.25;0.25;1.4444444444444444;4205.443848312954;[0, 24, 3, 20, 12, 1, 7, 10, 21, 9, 16, 2, 14, 22, 11, 4, 13, 5, 8, 19, 18, 15, 23, 17, 6, 0];
